Experiment,Number of Tasks,Task 2 Response Probability,Inter-task SOA is Predictable,Inter-task SOA,Distractor SOA,Task 1 CSI,Task 2 CSI,Switch Rate,Trial Transition Type,Stimulus-Stimulus Congruency,Stimulus-Response Congruency,Response Set Overlap,Task 1 Stimulus-Response Mapping,Task 2 Stimulus-Response Mapping,Task 1 Cue Type,Task 2 Cue Type,RSI is Predictable,RSI,Task 1 Difficulty,Task 2 Difficulty,Task 1 Type,Task 2 Type,Intra-Trial Task Relationship,Notes,Super_Experiment_Mapping_Notes
Eriksen & Eriksen 1974 Tgt Alone - Blocked,1,0,N/A,N/A,N/A,0,N/A,0%,Pure,N/A,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,2,N/A,Letter Identification,N/A,N/A,"Flanker task with four target stimuli mapping to two responses ({S, C} -> left lever, {H, K} -> right lever}. In this condition, the target is presented alone without flankers. This condition was the only one of its kind in the block.",in dedicated blocks
Eriksen & Eriksen 1974 Noise Same Tgt - 0.06deg,1,0,N/A,N/A,0,0,N/A,0%,Pure,Congruent,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,2.8,N/A,Letter Identification,N/A,N/A,"Flanker task with four target stimuli mapping to two responses ({S, C} -> left lever, {H, K} -> right lever}. In this condition, the target is presented with flankers identical to the target at a spacing of 0.06 deg.","{""block_id"": ""Eriksen & Eriksen 1974 0.06deg"", ""description"": ""Target (e.g., mov) and Flankers (e.g., or) map to same response. Spacing effect on target via Task 1 Difficulty/coh_mov_1. SE cannot distinguish this from 'Noise Response Compatible' parametrically if response mappings are identical."""
Eriksen & Eriksen 1974 Noise Same Tgt - 0.5deg,1,0,N/A,N/A,0,0,N/A,0%,Pure,Congruent,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,2.4,N/A,Letter Identification,N/A,N/A,"Flanker task with four target stimuli mapping to two responses ({S, C} -> left lever, {H, K} -> right lever}. In this condition, the target is presented with flankers identical to the target at a spacing of 0.5 deg.","{""block_id"": ""Eriksen & Eriksen 1974 0.5deg""}"
Eriksen & Eriksen 1974 Noise Same Tgt - 1.0deg,1,0,N/A,N/A,0,0,N/A,0%,Pure,Congruent,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,2.1,N/A,Letter Identification,N/A,N/A,"Flanker task with four target stimuli mapping to two responses ({S, C} -> left lever, {H, K} -> right lever}. In this condition, the target is presented with flankers identical to the target at a spacing of 1.0 deg.","{""block_id"": ""Eriksen & Eriksen 1974 1.0deg""}"
Eriksen & Eriksen 1974 Noise Resp Compat - 0.06deg,1,0,N/A,N/A,0,0,N/A,0%,Pure,Congruent,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,2.8,N/A,Letter Identification,N/A,N/A,"Flanker task with four target stimuli mapping to two responses ({S, C} -> left lever, {H, K} -> right lever}. In this condition, the target is presented with flankers that would demand the same response as the target at a spacing of 0.06 deg.","{""block_id"": ""Eriksen & Eriksen 1974 0.06deg""}"
Eriksen & Eriksen 1974 Noise Resp Compat - 0.5deg,1,0,N/A,N/A,0,0,N/A,0%,Pure,Congruent,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,2.4,N/A,Letter Identification,N/A,N/A,"Flanker task with four target stimuli mapping to two responses ({S, C} -> left lever, {H, K} -> right lever}. In this condition, the target is presented with flankers that would demand the same response as the target at a spacing of 0.5 deg.","{""block_id"": ""Eriksen & Eriksen 1974 0.5deg""}"
Eriksen & Eriksen 1974 Noise Resp Compat - 1.0deg,1,0,N/A,N/A,0,0,N/A,0%,Pure,Congruent,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,2.1,N/A,Letter Identification,N/A,N/A,"Flanker task with four target stimuli mapping to two responses ({S, C} -> left lever, {H, K} -> right lever}. In this condition, the target is presented with flankers that would demand the same response as the target at a spacing of 1.0 deg.","{""block_id"": ""Eriksen & Eriksen 1974 1.0deg""}"
Eriksen & Eriksen 1974 Noise Resp Incompat - 0.06deg,1,0,N/A,N/A,0,0,N/A,0%,Pure,Incongruent,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,2.8,N/A,Letter Identification,N/A,N/A,"Flanker task with four target stimuli mapping to two responses ({S, C} -> left lever, {H, K} -> right lever}. In this condition, the target is presented with flankers demanding a response opposite to the target at a spacing of 0.06 deg.","{""block_id"": ""Eriksen & Eriksen 1974 0.06deg""}"
Eriksen & Eriksen 1974 Noise Resp Incompat - 0.5deg,1,0,N/A,N/A,0,0,N/A,0%,Pure,Incongruent,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,2.4,N/A,Letter Identification,N/A,N/A,"Flanker task with four target stimuli mapping to two responses ({S, C} -> left lever, {H, K} -> right lever}. In this condition, the target is presented with flankers demanding a response opposite to the target at a spacing of 0.5 deg.","{""block_id"": ""Eriksen & Eriksen 1974 0.5deg""}"
Eriksen & Eriksen 1974 Noise Resp Incompat - 1.0deg,1,0,N/A,N/A,0,0,N/A,0%,Pure,Incongruent,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,2.1,N/A,Letter Identification,N/A,N/A,"Flanker task with four target stimuli mapping to two responses ({S, C} -> left lever, {H, K} -> right lever}. In this condition, the target is presented with flankers demanding a response opposite to the target at a spacing of 1.0 deg.","{""block_id"": ""Eriksen & Eriksen 1974 1.0deg""}"
Eriksen & Eriksen 1974 Noise Het. Similar - 0.06deg,1,0,N/A,N/A,0,0,N/A,0%,Pure,Neutral (Feature Similar),N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,2.8,N/A,Letter Identification,N/A,N/A,"Flanker task with four target stimuli mapping to two responses ({S, C} -> left lever, {H, K} -> right lever}. In this condition, the target is presented with flankers that don't belong to any of the four target stimuli but have features similar to the target at a spacing of 0.06 deg.","{""block_id"": ""Eriksen & Eriksen 1974 0.06deg""}"
Eriksen & Eriksen 1974 Noise Het. Similar - 0.5deg,1,0,N/A,N/A,0,0,N/A,0%,Pure,Neutral (Feature Similar),N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,2.4,N/A,Letter Identification,N/A,N/A,"Flanker task with four target stimuli mapping to two responses ({S, C} -> left lever, {H, K} -> right lever}. In this condition, the target is presented with flankers that don't belong to any of the four target stimuli but have features similar to the target at a spacing of 0.5 deg.
","{""block_id"": ""Eriksen & Eriksen 1974 0.5deg""}"
Eriksen & Eriksen 1974 Noise Het. Similar - 1.0deg,1,0,N/A,N/A,0,0,N/A,0%,Pure,Neutral (Feature Similar),N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,2.1,N/A,Letter Identification,N/A,N/A,"Flanker task with four target stimuli mapping to two responses ({S, C} -> left lever, {H, K} -> right lever}. In this condition, the target is presented with flankers that don't belong to any of the four target stimuli but have features similar to the target at a spacing of 1.0 deg.
","{""block_id"": ""Eriksen & Eriksen 1974 1.0deg""}"
Eriksen & Eriksen 1974 Noise Het. Dissimilar - 0.06deg,1,0,N/A,N/A,0,0,N/A,0%,Pure,Neutral (Feature Dissimilar),N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,2.8,N/A,Letter Identification,N/A,N/A,"Flanker task with four target stimuli mapping to two responses ({S, C} -> left lever, {H, K} -> right lever}. In this condition, the target is presented with flankers that don't belong to any of the four target stimuli and have features similar to the target stimuli associated with the opposing response at a spacing of 0.06 deg.","{""block_id"": ""Eriksen & Eriksen 1974 0.06deg""}"
Eriksen & Eriksen 1974 Noise Het. Dissimilar - 0.5deg,1,0,N/A,N/A,0,0,N/A,0%,Pure,Neutral (Feature Dissimilar),N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,2.4,N/A,Letter Identification,N/A,N/A,"Flanker task with four target stimuli mapping to two responses ({S, C} -> left lever, {H, K} -> right lever}. In this condition, the target is presented with flankers that don't belong to any of the four target stimuli and have features similar to the target stimuli associated with the opposing response at a spacing of 0.5 deg.","{""block_id"": ""Eriksen & Eriksen 1974 0.5deg""}"
Eriksen & Eriksen 1974 Noise Het. Dissimilar - 1.0deg,1,0,N/A,N/A,0,0,N/A,0%,Pure,Neutral (Feature Dissimilar),N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,2.1,N/A,Letter Identification,N/A,N/A,"Flanker task with four target stimuli mapping to two responses ({S, C} -> left lever, {H, K} -> right lever}. In this condition, the target is presented with flankers that don't belong to any of the four target stimuli and have features similar to the target stimuli associated with the opposing response at a spacing of 1.0 deg.","{""block_id"": ""Eriksen & Eriksen 1974 1.0deg""}"
Simon & Rudell 1967 - Congruent Trials,1,0,N/A,N/A,0,2000,N/A,0%,Pure,N/A,Congruent,N/A,Compatible,N/A,None/Implicit,N/A,Yes,6000,2,N/A,Response to Spoken Word,N/A,N/A,"Classic Simon task where the subject heard either the word ""left"" or ""right"" in either the left or right ear. They were instructed to press a left key when they heard ""left"" and a right key when they heard ""right"". This condition is congruent, so the ear in which the word was heard and the word itself matched.","{""block_id"": ""Simon & Rudell 1967""}"
Simon & Rudell 1967 - Incongruent Trials,1,0,N/A,N/A,0,2000,N/A,0%,Pure,N/A,Incongruent,N/A,Compatible,N/A,None/Implicit,N/A,Yes,6000,2,N/A,Response to Spoken Word,N/A,N/A,"Classic Simon task where the subject heard either the word ""left"" or ""right"" in either the left or right ear. They were instructed to press a left key when they heard ""left"" and a right key when they heard ""right"". This condition is incongruent, so the ear in which the word was heard and the word itself did not match.","{""block_id"": ""Simon & Rudell 1967""}"
Simon (1969) - Toward Block,1,0,N/A,N/A,N/A,2000,N/A,0%,Pure,N/A,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,7000,1,N/A,Response to Auditory Stimulus Side,N/A,N/A,"Simon task where subject was instructed to move a handle toward the source of a tone. This tested interference between a signal and its spatial location. In a sense, it's an interference task but there is no distractor stimulus.","{""block_id"": ""Simon (1969) Toward Block""}"
Simon (1969) - Away Block,1,0,N/A,N/A,N/A,2000,N/A,0%,Pure,N/A,N/A,N/A,Incompatible,N/A,None/Implicit,N/A,Yes,7000,1,N/A,Response away from Auditory Stimulus Side,N/A,N/A,"Simon task where subject was instructed to move a handle away from the source of a tone. This tested interference between a signal and its spatial location. In a sense, it's an interference task but there is no distractor stimulus.
","{""block_id"": ""Simon (1969) Away Block""}"
Schroeter et al. 2002 Stroop - Congruent,1,0,N/A,N/A,N/A,0,N/A,0%,Pure,Congruent,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,12000,3,N/A,Color-Word Matching,N/A,N/A,"Matching task (Yes/No response). Top row presented 100ms before bottom. This is actually a pretty unique case in the literature review in that it decomposed attributes of the target stimulus over time. This definitely can't be handled by the super experiment and we don't have a way of coding this in our higher level dimensions. Right now SOA as a dimension is overloaded to represent the timing offset of a distractor (top word in this case) with respect to the timing of the target stimulus. Because the target stimulus is decomposed into two halves, that means that the distractor is simultaneous with the first component but precedes the second component by 100ms. I marked this as bivalent because the top stimulus object is indeed bivalent. Congruent condition was slower than neutral. RT=800ms.","{""block_id"": ""Schroeter et al. 2002""}"
Schroeter et al. 2002 Stroop - Incongruent,1,0,N/A,N/A,N/A,0,N/A,0%,Pure,Incongruent,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,12000,3,N/A,Color-Word Matching,N/A,N/A,Matching task (Yes/No response). Top row presented 100ms before bottom. RT=882ms.,"{""block_id"": ""Schroeter et al. 2002""}"
Schroeter et al. 2002 Stroop - Neutral,1,0,N/A,N/A,N/A,0,N/A,0%,Pure,Neutral,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,12000,3,N/A,Matching task (Yes/No response). Top row presented 100ms before bottom. Neutral stimulus was 'XXXX' in a color. RT=740ms.,,Different,,"{""block_id"": ""Schroeter et al. 2002""}"
Mahani 2019 Exp2 VisCong-AudNeut,1,0,N/A,N/A,0,0,N/A,0%,Pure,N/A,Congruent,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,1000,2,N/A,Letter Identification,N/A,N/A,Multimodal Simon task. Participants had to press either the 'A' (which is the left key) or 'L' (which is the right key) key when seeing the letter 'H' or 'S' in a location congruent with the required response. Irrelevant auditory stimulus was neutral (binaural tone).,"{""block_id"": ""Mahani 2019 Exp2"", ""description"": ""SE cannot model the second (auditory) distractor. Congruency is spatial."""
Mahani 2019 Exp2 VisIncong-AudNeut,1,0,N/A,N/A,0,0,N/A,0%,Pure,N/A,Incongruent,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,1000,2,N/A,Letter Identification,N/A,N/A,Multimodal Simon task. Participants had to press either the 'A' (which is the left key) or 'L' (which is the right key) key when seeing the letter 'H' or 'S' in a location incongruent with the required response. Irrelevant auditory stimulus was neutral (binaural tone).,"{""block_id"": ""Mahani 2019 Exp2""}"
Mahani 2019 Exp2 VisNeut-AudNeut,1,0,N/A,N/A,0,0,N/A,0%,Pure,N/A,Neutral,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,1000,2,N/A,Letter Identification,N/A,N/A,Multimodal Simon task. Participants had to press either the 'A' (which is the left key) or 'L' (which is the right key) key when seeing the letter 'H' or 'S' in the center of the screen. Irrelevant auditory stimulus was neutral (binaural tone).,"{""block_id"": ""Mahani 2019 Exp2""}"
Brion 2018 Flanker - Congruent,1,0,N/A,N/A,0,0,N/A,0%,Pure,Congruent,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,490,3,N/A,Image Identification (Go/No-Go),N/A,N/A,Go-trial RTs for controls in non-alcohol block. Flankers were identical images. RT=459.16ms.,"{""block_id"": ""Brion 2018 Flanker""}"
Brion 2018 Flanker - Incongruent,1,0,N/A,N/A,0,0,N/A,0%,Pure,Incongruent,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,490,3,N/A,Image Identification (Go/No-Go),N/A,N/A,Go-trial RTs for controls in non-alcohol block. Flankers were from competing category. RT=466.01ms.,"{""block_id"": ""Brion 2018 Flanker""}"
Brion 2018 Flanker - Neutral,1,0,N/A,N/A,0,0,N/A,0%,Pure,Neutral,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,490,3,N/A,Image Identification (Go/No-Go),N/A,N/A,Go-trial RTs for controls in non-alcohol block. Neutral flankers were gray cans. RT=453.13ms.,"{""block_id"": ""Brion 2018 Flanker""}"
Hommel 1993 Exp1 KI-PM - Congruent,1,0,N/A,N/A,0,0,N/A,0%,Pure,N/A,Congruent,N/A,Compatible,N/A,None/Implicit,N/A,Yes,2500,2,N/A,Tone Discrimination,N/A,N/A,Simon task where subjects were instructed to press a left key when hearing a low tone and a right key when hearing a high tone. The left key also turned on a left light and the right key turned on a right light. In this condition the tone was emitted on the same side as the required keypress.,"{""block_id"": ""Hommel 1993 Exp1 KI-PM""}"
Hommel 1993 Exp1 KI-PM - Incongruent,1,0,N/A,N/A,0,0,N/A,0%,Pure,N/A,Incongruent,N/A,Incompatible,N/A,None/Implicit,N/A,Yes,2500,2,N/A,Tone Discrimination,N/A,N/A,Simon task where subjects were instructed to press a left key when hearing a low tone and a right key when hearing a high tone. The left key also turned on a left light and the right key turned on a right light. In this condition the tone was emitted on the opposite side as the required keypress.,"{""block_id"": ""Hommel 1993 Exp1 KI-PM""}"
Hommel 1993 Exp1 KI-PM - Neutral,1,0,N/A,N/A,0,0,N/A,0%,Pure,N/A,Neutral,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,2500,2,N/A,Tone Discrimination,N/A,N/A,Simon task where subjects were instructed to press a left key when hearing a low tone and a right key when hearing a high tone. The left key also turned on a left light and the right key turned on a right light. In this condition the tone was emitted from loudspeakers on both sides.,"{""block_id"": ""Hommel 1993 Exp1 KI-PM""}"
Hommel 1993 Exp1 KI-IM - Congruent,1,0,N/A,N/A,0,0,N/A,0%,Pure,N/A,Congruent,N/A,Compatible,N/A,None/Implicit,N/A,Yes,2500,2,N/A,Tone Discrimination,N/A,N/A,Simon task where subjects were instructed to press a left key when hearing a low tone and a right key when hearing a high tone. The left key also turned on a right light and the right key turned on a left light. In this condition the tone was emitted on the same side as the required keypress. RT=406ms.,"{""block_id"": ""Hommel 1993 Exp1 KI-IM""}"
Hommel 1993 Exp1 KI-IM - Incongruent,1,0,N/A,N/A,0,0,N/A,0%,Pure,N/A,Incongruent,N/A,Incompatible,N/A,None/Implicit,N/A,Yes,2500,2,N/A,Tone Discrimination,N/A,N/A,Simon task where subjects were instructed to press a left key when hearing a low tone and a right key when hearing a high tone. The left key also turned on a right light and the right key turned on a left light. In this condition the tone was emitted on the opposite side as the required keypress. RT=458ms.,"{""block_id"": ""Hommel 1993 Exp1 KI-IM""}"
Hommel 1993 Exp1 KI-IM - Neutral,1,0,N/A,N/A,0,0,N/A,0%,Pure,N/A,Neutral,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,2500,2,N/A,Tone Discrimination,N/A,N/A,Simon task where subjects were instructed to press a left key when hearing a low tone and a right key when hearing a high tone. The left key also turned on a right light and the right key turned on a left light. In this condition the tone was emitted from loudspeakers on both sides. RT=440ms,"{""block_id"": ""Hommel 1993 Exp1 KI-IM""}"
Hommel 1993 Exp1 LI-IM - Congruent,1,0,N/A,N/A,0,0,N/A,0%,Pure,N/A,Congruent,N/A,Compatible,N/A,None/Implicit,N/A,Yes,2500,2,N/A,Tone Discrimination,N/A,N/A,Simon task where subjects were instructed to turn on the right light when hearing a low tone and turn on the left light when hearing a high tone. The left key turned on the right light and the right key turned on the left light. In this condition the tone was emitted on the same side as the required keypress. RT=406ms. RT=399ms.,"{""block_id"": ""Hommel 1993 Exp1 LI-IM""}"
Hommel 1993 Exp1 LI-IM - Incongruent,1,0,N/A,N/A,0,0,N/A,0%,Pure,N/A,Incongruent,N/A,Incompatible,N/A,None/Implicit,N/A,Yes,2500,2,N/A,Tone Discrimination,N/A,N/A,Simon task where subjects were instructed to turn on the right light when hearing a low tone and turn on the left light when hearing a high tone. The left key turned on the right light and the right key turned on the left light. In this condition the tone was emitted on the opposite side as the required keypress RT=429ms.,"{""block_id"": ""Hommel 1993 Exp1 LI-IM""}"
Hommel 1993 Exp1 LI-IM - Neutral,1,0,N/A,N/A,0,0,N/A,0%,Pure,N/A,Neutral,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,2500,2,N/A,Tone Discrimination,N/A,N/A,Simon task where subjects were instructed to turn on the right light when hearing a low tone and turn on the left light when hearing a high tone. The left key turned on the right light and the right key turned on the left light. In this condition the tone was emitted from loudspeakers on both sides. RT=409ms.,"{""block_id"": ""Hommel 1993 Exp1 LI-IM""}"
Parris 2014 Stroop LongRSI - Congruent,1,0,N/A,N/A,0,0,N/A,0%,Pure,Congruent,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,3500,3,N/A,Color Naming,N/A,N/A,Standard Stroop experiment where they manipulated RSI. RT=737ms.,"{""block_id"": ""Parris 2014 Stroop LongRSI""}"
Parris 2014 Stroop LongRSI - Incongruent,1,0,N/A,N/A,0,0,N/A,0%,Pure,Incongruent,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,3500,3,N/A,Color Naming,N/A,N/A,Standard Stroop experiment where they manipulated RSI. RT=790ms.,"{""block_id"": ""Parris 2014 Stroop LongRSI""}"
Parris 2014 Stroop LongRSI - Neutral,1,0,N/A,N/A,0,0,N/A,0%,Pure,Neutral,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,3500,3,N/A,Color Naming,N/A,N/A,Standard Stroop experiment where they manipulated RSI. Neutral stimuli were non-color words. RT=745ms.,"{""block_id"": ""Parris 2014 Stroop LongRSI""}"
Parris 2014 Stroop ShortRSI - Congruent,1,0,N/A,N/A,0,0,N/A,0%,Pure,Congruent,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,200,3,N/A,Color Naming,N/A,N/A,Standard Stroop experiment where they manipulated RSI. RT=693ms.,"{""block_id"": ""Parris 2014 Stroop ShortRSI""}"
Parris 2014 Stroop ShortRSI - Incongruent,1,0,N/A,N/A,0,0,N/A,0%,Pure,Incongruent,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,200,3,N/A,Color Naming,N/A,N/A,Standard Stroop experiment where they manipulated RSI. RT=754ms.,"{""block_id"": ""Parris 2014 Stroop ShortRSI""}"
Parris 2014 Stroop ShortRSI - Neutral,1,0,N/A,N/A,0,0,N/A,0%,Pure,Neutral,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,200,3,N/A,Color Naming,N/A,N/A,Standard Stroop experiment where they manipulated RSI. Neutral stimuli were non-color words. RT=739ms.,"{""block_id"": ""Parris 2014 Stroop ShortRSI""}"
Kopp 1996 Flanker Short - Congruent,1,0,N/A,N/A,-100,500,N/A,0%,Pure,Congruent,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,2000,3,N/A,Arrow Identification,N/A,N/A,Flanker (distractor) preceded target by 100ms. Neutral flankers=squares. Short distance. RT=306ms.,"{""block_id"": ""Kopp 1996 Flanker Short"", ""convert_overrides"":{""t1_stim_duration"":50,""t1_cue_go_duration"":550,""t2_stim_duration"":550}}"
Kopp 1996 Flanker Short - Incongruent,1,0,N/A,N/A,-100,500,N/A,0%,Pure,Incongruent,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,2000,3,N/A,Arrow Identification,N/A,N/A,Flanker (distractor) preceded target by 100ms. Neutral flankers=squares. Short distance. RT=415ms.,"{""block_id"": ""Kopp 1996 Flanker Short"", ""convert_overrides"":{""t1_stim_duration"":50,""t1_cue_go_duration"":550,""t2_stim_duration"":550}}"
Kopp 1996 Flanker Short - Neutral,1,0,N/A,N/A,-100,500,N/A,0%,Pure,Neutral,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,2000,3,N/A,Arrow Identification,N/A,N/A,Flanker (distractor) preceded target by 100ms. Neutral flankers=squares. Short distance. RT=350ms.,"{""block_id"": ""Kopp 1996 Flanker Short"", ""convert_overrides"":{""t1_stim_duration"":50,""t1_cue_go_duration"":550,""t2_stim_duration"":550}}"
Kopp 1996 Flanker Large - Congruent,1,0,N/A,N/A,-100,500,N/A,0%,Pure,Congruent,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,2000,3,N/A,Arrow Identification,N/A,N/A,Flanker (distractor) preceded target by 100ms. Neutral flankers=squares. Large distance. RT=321ms.,"{""block_id"": ""Kopp 1996 Flanker Long"", ""convert_overrides"":{""t1_stim_duration"":50,""t1_cue_go_duration"":550,""t2_stim_duration"":550}}"
Kopp 1996 Flanker Large - Incongruent,1,0,N/A,N/A,-100,500,N/A,0%,Pure,Incongruent,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,2000,3,N/A,Arrow Identification,N/A,N/A,Flanker (distractor) preceded target by 100ms. Neutral flankers=squares. Large distance. RT=395ms.,"{""block_id"": ""Kopp 1996 Flanker Long"", ""convert_overrides"":{""t1_stim_duration"":50,""t1_cue_go_duration"":550,""t2_stim_duration"":550}}"
Kopp 1996 Flanker Large - Neutral,1,0,N/A,N/A,-100,500,N/A,0%,Pure,Neutral,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,2000,3,N/A,Arrow Identification,N/A,N/A,Flanker (distractor) preceded target by 100ms. Neutral flankers=squares. Large distance. RT=351ms.,"{""block_id"": ""Kopp 1996 Flanker Long"", ""convert_overrides"":{""t1_stim_duration"":50,""t1_cue_go_duration"":550,""t2_stim_duration"":550}}"
Allport et al. 1994 Exp 1 Value Judgment (Even/Odd) Pure Trials,1,0,N/A,N/A,N/A,500,N/A,0%,Pure,Neutral,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,3,N/A,Value Judgment - Even or Odd,N/A,N/A,,"{""block_id"": ""Allport et al. 1994 Exp 1 Value Judgment (Even/Odd)""}"
Allport et al. 1994 Exp 1 Value Judgment (More/Less Than 5) Pure Trials,1,0,N/A,N/A,N/A,500,N/A,0%,Pure,Neutral,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,3,N/A,Value Judgment - More or Less Than 5,N/A,N/A,,"{""block_id"": ""Allport et al. 1994 Exp 1 Value Judgment (More/Less Than 5)""}"
Allport et al. 1994 Exp 1 Group Count (Even/Odd) Pure Trials,1,0,N/A,N/A,N/A,500,N/A,0%,Pure,Neutral,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,3,N/A,Group Count - Even or Odd,N/A,N/A,,"{""block_id"": ""Allport et al. 1994 Exp 1 Group Count Judgment (Even/Odd)""}"
Allport et al. 1994 Exp 1 Group Count (More/Less Than 5) Pure Trials,1,0,N/A,N/A,N/A,500,N/A,0%,Pure,Neutral,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,3,N/A,Group Count - More or Less Than 5,N/A,N/A,,"{""block_id"": ""Allport et al. 1994 Exp 1 Group Count (More/Less Than 5)""}"
Allport et al. 1994 Exp 1 - Shift Judgment Switch Trials,1,0,N/A,N/A,0,0,0,100%,Switch,Neutral,N/A,Disjoint - Category (Same Modality),Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,3,3,Value Judgment - Even or Odd,Value Judgment - More or Less Than 5,Different,Switching between two stimulus dimensions for the same cognitive operation. There is a mention of operation-based bivalence in the note on Stimulus Bivalence which applies here. Tasks were self paced.,"{""block_id"": ""Allport et al. 1994 Exp 1 Shift Judgment"", ""description"": ""Because the switch is between two different processing tasks, this is essentially abstracted away by the Super Experiment."""
Allport et al. 1994 Exp 1 - Shift Judgment Repeat Trials,1,0,N/A,N/A,0,0,0,100%,Repeat,Neutral,N/A,Disjoint - Category (Same Modality),Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,3,3,Value Judgment - Even or Odd,Value Judgment - More or Less Than 5,Different,Switching between two stimulus dimensions for the same cognitive operation. There is a mention of operation-based bivalence in the note on Stimulus Bivalence which applies here. Tasks were self paced.,"{""block_id"": ""Allport et al. 1994 Exp 1 Shift Judgment""}"
Allport et al. 1994 Exp 1 - Shift Stimulus Switch Trials,1,0,N/A,N/A,0,0,0,100%,Switch,Neutral,N/A,Disjoint - Category (Same Modality),Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,3,3,Group Count - Even or Odd,Group Count - More or Less Than 5,Different,Switching between two stimulus dimensions for the same cognitive operation. There is a mention of operation-based bivalence in the note on Stimulus Bivalence which applies here. Tasks were self paced.,"{""block_id"": ""Allport et al. 1994 Exp 1 Shift Stimulus""}"
Allport et al. 1994 Exp 1 - Shift Stimulus Repeat Trials,1,0,N/A,N/A,0,0,0,100%,Repeat,Neutral,N/A,Disjoint - Category (Same Modality),Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,3,3,Group Count - Even or Odd,Group Count - More or Less Than 5,Different,Switching between two stimulus dimensions for the same cognitive operation. There is a mention of operation-based bivalence in the note on Stimulus Bivalence which applies here. Tasks were self paced.,"{""block_id"": ""Allport et al. 1994 Exp 1 Shift Stimulus""}"
Allport et al. 1994 Exp 1 - Shift Both Switch Trials,1,0,N/A,N/A,0,0,0,100%,Switch,Neutral,N/A,Disjoint - Category (Same Modality),Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,3,3,Value Judgment - Even or Odd,Group Count - More or Less Than 5,Different,Switching both stimulus dimension and cognitive operation concurrently.,"{""block_id"": ""Allport et al. 1994 Exp 1 Shift Both""}"
